Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024;Codice di avviamento postale;Latitudine;Longitudine
1;201;1;1;1001;Agliè;Agliè;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1001;1001;1001;1001;A074;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10011;45.3634669;7.7686057
1;201;1;2;1002;Airasca;Airasca;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1002;1002;1002;1002;A109;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10060;44.9170061;7.4845045
1;201;1;3;1003;Ala di Stura;Ala di Stura;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1003;1003;1003;1003;A117;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10070;45.3149237;7.3043670
1;201;1;4;1004;Albiano d'Ivrea;Albiano d'Ivrea;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1004;1004;1004;1004;A157;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.4336463;7.9495045
1;201;1;6;1006;Almese;Almese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1006;1006;1006;1006;A218;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10040;45.1176654;7.3951859
1;201;1;7;1007;Alpette;Alpette;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1007;1007;1007;1007;A221;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10080;45.4099554;7.5785615
1;201;1;8;1008;Alpignano;Alpignano;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1008;1008;1008;1008;A222;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10091;45.0944686;7.5242628
1;201;1;9;1009;Andezeno;Andezeno;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1009;1009;1009;1009;A275;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10020;45.0358946;7.8699281
1;201;1;10;1010;Andrate;Andrate;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1010;1010;1010;1010;A282;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.5283724;7.8738546
1;201;1;11;1011;Angrogna;Angrogna;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1011;1011;1011;1011;A295;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10060;44.8436082;7.2242658
1;201;1;12;1012;Arignano;Arignano;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1012;1012;1012;1012;A405;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10020;45.0437016;7.9018970
1;201;1;13;1013;Avigliana;Avigliana;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1013;1013;1013;1013;A518;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10051;45.0793678;7.3963516
1;201;1;14;1014;Azeglio;Azeglio;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1014;1014;1014;1014;A525;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.4248532;7.9947436
1;201;1;15;1015;Bairo;Bairo;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1015;1015;1015;1015;A584;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.3862699;7.7569141
1;201;1;16;1016;Balangero;Balangero;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1016;1016;1016;1016;A587;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10070;45.2700030;7.5192683
1;201;1;17;1017;Baldissero Canavese;Baldissero Canavese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1017;1017;1017;1017;A590;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10080;45.4084019;7.7443534
1;201;1;18;1018;Baldissero Torinese;Baldissero Torinese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1018;1018;1018;1018;A591;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10020;45.0684291;7.8177989
1;201;1;19;1019;Balme;Balme;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1019;1019;1019;1019;A599;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10070;45.3023388;7.2183609
1;201;1;20;1020;Banchette;Banchette;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1020;1020;1020;1020;A607;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.4608248;7.8563818
1;201;1;21;1021;Barbania;Barbania;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1021;1021;1021;1021;A625;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10070;45.2904913;7.6304781
1;201;1;22;1022;Bardonecchia;Bardonecchia;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1022;1022;1022;1022;A651;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10052;45.0781507;6.7038976
1;201;1;23;1023;Barone Canavese;Barone Canavese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1023;1023;1023;1023;A673;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10010;45.3277288;7.8705578
1;201;1;24;1024;Beinasco;Beinasco;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1024;1024;1024;1024;A734;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10092;45.0220788;7.5790186
1;201;1;25;1025;Bibiana;Bibiana;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1025;1025;1025;1025;A853;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10060;44.7975980;7.2898046
1;201;1;26;1026;Bobbio Pellice;Bobbio Pellice;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1026;1026;1026;1026;A910;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10060;44.8076971;7.1170209
1;201;1;27;1027;Bollengo;Bollengo;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1027;1027;1027;1027;A941;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10012;45.4733455;7.9453007
1;201;1;28;1028;Borgaro Torinese;Borgaro Torinese;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1028;1028;1028;1028;A990;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10071;45.1520050;7.6578945
1;201;1;29;1029;Borgiallo;Borgiallo;;1;Nord-ovest;Piemonte;Torino;3;0;TO;1029;1029;1029;1029;B003;ITC;ITC1;ITC11;ITC;ITC1;ITC11;10080;45.4167662;7.6677454
